zip,service_type,subregion
3057,electricity,NEWE
3060,electricity,NEWE
3061,electricity,NEWE
3062,electricity,NEWE
3063,electricity,NEWE
3064,electricity,NEWE
3070,electricity,NEWE
3071,electricity,NEWE
3073,electricity,NEWE
3076,electricity,NEWE
3077,electricity,NEWE
3079,electricity,NEWE
3082,electricity,NEWE
3084,electricity,NEWE
3086,electricity,NEWE
3087,electricity,NEWE
3101,electricity,NEWE
3102,electricity,NEWE
3103,electricity,NEWE
3104,electricity,NEWE
3105,electricity,NEWE
3106,electricity,NEWE
3107,electricity,NEWE
3108,electricity,NEWE
3109,electricity,NEWE
3110,electricity,NEWE
3111,electricity,NEWE
3215,electricity,NEWE
3216,electricity,NEWE
3217,electricity,NEWE
3218,electricity,NEWE
3220,electricity,NEWE
3221,electricity,NEWE
3222,electricity,NEWE
3223,electricity,NEWE
3224,electricity,NEWE
3225,electricity,NEWE
3226,electricity,NEWE
3227,electricity,NEWE
3229,electricity,NEWE
3230,electricity,NEWE
3231,electricity,NEWE
3233,electricity,NEWE
3234,electricity,NEWE
3235,electricity,NEWE
3237,electricity,NEWE
3238,electricity,NEWE
3240,electricity,NEWE
3241,electricity,NEWE
3242,electricity,NEWE
3243,electricity,NEWE
3244,electricity,NEWE
3245,electricity,NEWE
3246,electricity,NEWE
3247,electricity,NEWE
3249,electricity,NEWE
3251,electricity,NEWE
3252,electricity,NEWE
3253,electricity,NEWE
3254,electricity,NEWE
3255,electricity,NEWE
3256,electricity,NEWE
3257,electricity,NEWE
3258,electricity,NEWE
3259,electricity,NEWE
3260,electricity,NEWE
3261,electricity,NEWE
3262,electricity,NEWE
3263,electricity,NEWE
3264,electricity,NEWE
3266,electricity,NEWE
3268,electricity,NEWE
3269,electricity,NEWE
3272,electricity,NEWE
3273,electricity,NEWE
3274,electricity,NEWE
3275,electricity,NEWE
3276,electricity,NEWE
3278,electricity,NEWE
3279,electricity,NEWE
3280,electricity,NEWE
3281,electricity,NEWE
3282,electricity,NEWE
3284,electricity,NEWE
3285,electricity,NEWE
3287,electricity,NEWE
3289,electricity,NEWE
3290,electricity,NEWE
3291,electricity,NEWE
3293,electricity,NEWE
3298,electricity,NEWE
3299,electricity,NEWE
3301,electricity,NEWE
3302,electricity,NEWE
3303,electricity,NEWE
3304,electricity,NEWE
3305,electricity,NEWE
3307,electricity,NEWE
3431,electricity,NEWE
3435,electricity,NEWE
3440,electricity,NEWE
3441,electricity,NEWE
3442,electricity,NEWE
